mean_reward,mean_cost,mean_res_wasted,mean_length,training_iterations,trial_id,done,config/path,config/seed,config/env_name,config/res_penalty,config/train_episodes,config/eval_episodes,config/learning_rate,config/gamma,config/use_sde,config/ent_coef,config/optimizer,config/activation_fn,config/num_units_layer,config/num_hidden_layers,config/sde_sample_freq,config/gradient_steps,config/buffer_size,config/batch_size,config/tau,config/target_update_interval,config/learning_starts,config/train_freq,config/gnn_in_channels,config/gnn_hidden_channels,config/gnn_out_channels,config/gnn_num_layers,config/gnn_dropout,logdir
116.190871065656,526582.757723771,8235.89573778714,162.033333333333,1,a0f53_00018,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.001,0.960962895582615,False,auto,<class 'torch.optim.adamw.AdamW'>,<class 'torch.nn.modules.activation.ReLU'>,128,6,-1,1,100000,128,0.00110029616872168,10,1000,100,6,36,36,3,0,a0f53_00018
104.51122261246,523712.068619232,9434.56525093961,146.96,1,a0f53_00012,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.00001,0.901251100422445,False,auto,<class 'torch.optim.adamw.AdamW'>,<class 'torch.nn.modules.activation.ReLU'>,512,6,-1,1,500000,512,0.00790012323004664,100,5000,10,6,36,18,4,0.4,a0f53_00012
96.3043097533782,536865.272159376,8440.13263911383,162.2,1,a0f53_00019,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.00001,0.891394131193316,False,auto,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.activation.ReLU'>,128,6,-1,1,1000000,256,0.00286908994432604,10,5000,100,6,72,36,4,0,a0f53_00019
84.7925446317593,528357.955667822,8603.67290281023,118.82,1,a0f53_00001,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.001,0.847350276740801,False,auto,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.activation.ReLU'>,128,6,-1,5,1000000,256,0.00114887037619173,10,1000,100,6,18,6,4,0.2,a0f53_00001
78.7159398293495,524714.523198204,7869.61871833795,109.306666666667,1,a0f53_00009,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.00001,0.98668714413668,False,auto,<class 'torch.optim.adamw.AdamW'>,<class 'torch.nn.modules.activation.ReLU'>,512,6,-1,1,500000,512,0.00244947392381811,10,5000,100,6,36,6,2,0.2,a0f53_00009
75.5838889360428,522720.930551652,7486.46002468555,107.7,1,a0f53_00015,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.00001,0.966325743430013,False,auto,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.activation.ReLU'>,256,4,-1,1,1000000,128,0.00198813533007736,1,5000,100,6,72,18,4,0.4,a0f53_00015
63.2226570667823,525134.374490392,5681.5942149674,85.62,1,a0f53_00011,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.00001,0.952296086764727,False,auto,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.activation.ReLU'>,128,4,-1,10,500000,64,0.0070958271852033,100,5000,100,6,18,6,2,0.2,a0f53_00011
46.4059041355054,539916.324910656,3326.35898481465,65.84,1,a0f53_00014,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.0001,0.936318021988182,False,auto,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.activation.ReLU'>,128,2,-1,1,500000,512,0.00450867259212126,100,1000,10,6,18,18,4,0.2,a0f53_00014
38.992275646925,531963.0925551,6690.31672890402,70.5133333333333,1,a0f53_00005,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.001,0.828332304396354,False,auto,<class 'torch.optim.adamw.AdamW'>,<class 'torch.nn.modules.activation.ReLU'>,128,4,-1,10,1000000,64,0.00248893734264872,1,1000,100,6,18,6,4,0.4,a0f53_00005
28.8274823959668,530063.318317381,4563.45597868449,53.0466666666667,1,a0f53_00006,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.00001,0.882302141787046,False,auto,<class 'torch.optim.adamw.AdamW'>,<class 'torch.nn.modules.activation.ReLU'>,48,4,-1,10,100000,128,0.00725759939509638,100,1000,1,6,72,6,2,0.4,a0f53_00006
22.2842437897126,553825.491960768,3350.19061672303,50.8,1,a0f53_00002,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.001,0.9431224877345,False,auto,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.activation.ReLU'>,256,4,-1,10,500000,512,0.00245213651740893,100,1000,10,6,36,6,2,0.2,a0f53_00002
21.1363339541356,567696.841595134,5541.43134892763,67.7066666666667,1,a0f53_00010,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.0001,0.803482561713589,False,auto,<class 'torch.optim.adamw.AdamW'>,<class 'torch.nn.modules.activation.ReLU'>,256,2,-1,5,1000000,256,0.00339590653132422,10,5000,1,6,72,36,4,0.4,a0f53_00010
20.4720793372393,572478.226300723,15377.5738656718,184.353333333333,1,a0f53_00013,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.001,0.906684610486594,False,auto,<class 'torch.optim.adamw.AdamW'>,<class 'torch.nn.modules.activation.ReLU'>,256,2,-1,5,1000000,64,0.00335378391558041,10,5000,10,6,36,36,2,0,a0f53_00013
17.2658269570271,550615.898348115,3176.36214812923,28.8066666666667,1,a0f53_00016,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.001,0.939111506246483,False,auto,<class 'torch.optim.adamw.AdamW'>,<class 'torch.nn.modules.activation.ReLU'>,128,2,-1,5,1000000,256,0.00411883972253343,10,5000,100,6,72,6,2,0.2,a0f53_00016
17.0624840978781,565350.545424904,17391.2903179112,115.533333333333,1,a0f53_00003,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.00001,0.963663266564088,False,auto,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.activation.ReLU'>,512,4,-1,10,1000000,512,0.0091170887690587,1,1000,1,6,72,18,3,0,a0f53_00003
16.9395539675156,557113.899804592,3856.00607652277,26.26,1,a0f53_00004,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.0001,0.95941365820097,False,auto,<class 'torch.optim.adamw.AdamW'>,<class 'torch.nn.modules.activation.ReLU'>,48,4,-1,1,500000,512,0.0072074455358915,10,50000,1,6,18,18,4,0.4,a0f53_00004
16.1387509204944,562651.656377405,5799.12092855196,35.38,1,a0f53_00017,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.001,0.958846908156064,False,auto,<class 'torch.optim.adamw.AdamW'>,<class 'torch.nn.modules.activation.ReLU'>,128,2,-1,1,500000,512,0.00538872238561175,1,50000,100,6,18,18,3,0.4,a0f53_00017
13.7781623911858,565792.638501519,4234.46634313294,43.1533333333333,1,a0f53_00008,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.001,0.886879751600381,False,auto,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.activation.ReLU'>,128,6,-1,10,1000000,256,0.00809508532643444,100,5000,10,6,36,36,2,0.4,a0f53_00008
10.4605057505767,550276.406956818,2213.64968343837,21.22,1,a0f53_00000,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.001,0.822074071281595,False,auto,<class 'torch.optim.adamw.AdamW'>,<class 'torch.nn.modules.activation.ReLU'>,48,6,-1,10,500000,128,0.00180720841169889,10,5000,1,6,72,6,2,0.2,a0f53_00000
6.03010686377684,581569.708632188,4277.21716918768,9.29333333333333,1,a0f53_00007,True,/home/treeman/school/dissertation/src/grl/experiments/test/gcn_sac/,123213123,l2rpn_icaps_2021_small,0.4,500,150,0.001,0.910118438894635,False,auto,<class 'torch.optim.adamw.AdamW'>,<class 'torch.nn.modules.activation.ReLU'>,128,4,-1,10,100000,512,0.00602556438838199,10,1000,10,6,18,6,3,0.2,a0f53_00007
